from_id,to_id,travel_time,routes,board_stops,alight_stops,ride_times,access_time,egress_time,transfer_time,wait_times,total_time,n_iterations
4199,14995,,[],[],[],[],,,,[],,
4200,14995,53.0,"['405', 'L1', 'L2R', '507']","['PC263', '57', '44', 'PA450']","['PC192', '44', '70', 'PA322']","[15.6, 8.6, 2.6, 3.6]",7.1,3.3,3.1,"[3.3, 1.4, 3.7, 1.6]",54.0,1
4201,14995,60.0,"['C10e', 'L1', 'L2R', '506e']","['PC943', '93', '44', 'PA450']","['PC1220', '44', '70', 'PA452']","[17.6, 12.6, 2.6, 2.6]",3.4,4.6,5.6,"[7.3, 1.5, 2.5, 2.1]",62.4,4
4202,14995,59.0,"['216', 'L1', 'L2R', '507']","['PC102', '58', '44', 'PA450']","['PC105', '44', '70', 'PA322']","[4.8, 18.3, 2.6, 3.6]",15.8,3.3,5.8,"[1.0, 2.4, 2.7, 3.4]",63.5,2
4203,14995,44.0,"['L1', 'L2R', '506v']","['3', '44', 'PA450']","['44', '70', 'PA452']","[15.2, 2.6, 3.3]",11.7,4.6,1.3,"[2.0, 3.3, 1.2]",45.3,7
4204,14995,72.0,"['406c', 'L1', 'L2R', '506e']","['PC780', '58', '44', 'PA450']","['PC178', '44', '70', 'PA452']","[26.5, 18.3, 2.6, 2.6]",1.5,4.6,6.7,"[1.0, 1.8, 1.0, 3.2]",69.7,1
4205,14995,53.0,"['C22', 'L1', 'L2R', '506']","['PC70', '27', '44', 'PA450']","['PC906', '44', '70', 'PA452']","[3.8, 16.5, 2.6, 3.0]",8.9,4.6,6.1,"[2.4, 1.0, 1.2, 1.3]",51.4,2
4206,14995,40.0,"['L1', 'L2R', '506e']","['3', '44', 'PA450']","['44', '70', 'PA452']","[15.2, 2.6, 2.6]",8.1,4.6,1.3,"[1.2, 3.3, 1.9]",40.8,5
4207,14995,40.0,"['L1', 'L2R', '509']","['32', '44', 'PA450']","['44', '70', 'PA452']","[14.0, 2.6, 3.0]",9.6,4.6,1.3,"[1.8, 3.7, 1.1]",41.8,2
4208,14995,39.0,"['L1', '119']","['3', 'PA273']","['83', 'PA276']","[16.6, 4.2]",6.2,4.3,5.8,"[1.1, 1.5]",39.6,1
4209,14995,,[],[],[],[],,,,[],,
4210,14995,40.0,"['L1', 'L5V', '121']","['58', '6', 'PA724']","['6', '78', 'PA276']","[12.2, 6.3, 8.3]",4.3,4.3,0.7,"[2.3, 1.8, 1.0]",41.3,1
4211,14995,,[],[],[],[],,,,[],,
4212,14995,72.0,"['C28', '225', 'L1', 'L2R', '506v']","['PC780', 'PC115', '40', '44', 'PA450']","['PC115', 'PC1067', '44', '70', 'PA452']","[15.0, 10.5, 21.5, 2.6, 3.3]",1.5,4.6,2.6,"[4.8, 1.3, 2.1, 1.9, 1.4]",73.1,1
4213,14995,40.0,"['L1', 'L2R', '506']","['3', '44', 'PA450']","['44', '70', 'PA452']","[15.2, 2.6, 3.0]",7.1,4.6,1.3,"[1.8, 3.0, 1.6]",40.2,13
4214,14995,42.0,"['L1', '119']","['27', 'PA273']","['83', 'PA276']","[17.8, 4.2]",8.1,4.3,5.8,"[2.0, 1.2]",43.4,1
4215,14995,59.0,"['C03', 'C18', 'L1', 'L2R', '506e']","['PC1131', 'PC67', '27', '44', 'PA450']","['PC67', 'PC906', '44', '70', 'PA452']","[3.8, 6.7, 16.5, 2.6, 2.6]",2.5,4.6,6.1,"[7.4, 2.1, 2.3, 2.7, 2.5]",62.2,1
4216,14995,57.0,"['C22', 'L1', '507']","['PC66', '27', 'PA335']","['PC906', '38', 'PA433']","[7.0, 19.1, 6.8]",5.5,3.4,6.5,"[4.8, 2.0, 1.8]",56.9,6
